Article ID,Article URL,Article Title,Article Image URL
0,https://www.wrestlinginc.com/news/2019/11/aew-announces-fine-to-jimmy-havoc-for-staple-gun-662548/,AEW Announces Fine To Jimmy Havoc For Staple Gun,https://pbs.twimg.com/media/EKAKniZWsAIYqVn?format=jpg&name=small
1,https://www.wrestlinginc.com/news/2019/11/aew-to-have-students-train-under-contract-at-wrestling-662544/,AEW To Have Students Train Under Contract At Wrestling School Co-Owned By Former WCW Wrestler,https://i1.ytimg.com/vi/4P7WV2UC6l4/mqdefault.jpg
2,https://www.wrestlinginc.com/news/2019/11/cody-rhodes-on-when-aew-will-reset-win-loss-records-662529/,Cody Rhodes On When AEW Will Reset Win-Loss Records,https://i1.ytimg.com/vi/1yZcEHRjmjs/mqdefault.jpg
3,https://www.wrestlinginc.com/news/2019/11/chris-jericho-on-nxt-beating-aew-in-the-ratings-this-week-662513/,Chris Jericho On NXT Beating AEW In The Ratings This Week,https://i1.ytimg.com/vi/8FHGiOkRHuc/mqdefault.jpg
4,https://www.wrestlinginc.com/news/2019/11/jon-moxley-says-he-the-baddest-in-aew-662507/,Jon Moxley Says He's The Baddest In AEW Thunder Rosa Match Santana & Ortiz Warn The Young Bucks,https://i1.ytimg.com/vi/sBqGzQqUMCc/mqdefault.jpg
5,https://www.wrestlinginc.com/news/2019/11/views-from-the-turnbuckle-aew-5-biggest-breakout-stars-662505/,Views From The Turnbuckle: AEW's 5 Biggest Breakout Stars,https://i1.ytimg.com/vi/_1ybBTBnM9s/mqdefault.jpg
6,https://www.wrestlinginc.com/news/2019/11/cody-rhodes-662504/,Cody Rhodes Comments On WWE NXT Topping AEW Dynamite Viewership,https://i1.ytimg.com/vi/8FHGiOkRHuc/mqdefault.jpg
7,https://www.wrestlinginc.com/news/2019/11/cody-rhodes-acknowledges-vince-suck-it-sign-after-aew-662491/,"Cody Rhodes Acknowledges ""Vince Suck It"" Sign After AEW Dynamite Deletes ""Going To Court"" Tweet",https://i1.ytimg.com/vi/b0fzTwF4G98/mqdefault.jpg
8,https://www.wrestlinginc.com/news/2019/11/post-aew-dynamite-dark-match-results-662475/,Post-AEW Dynamite Dark Match Results: Kenny Omega Defends AAA Title Shanna Vs. Big Swole,https://www.wrestlinginc.com/images/pics/thumb/kennyomegaaew.jpg
9,https://www.wrestlinginc.com/news/2019/11/dustin-rhodes-returns-on-aew-dynamite-662473/,Dustin Rhodes Returns On AEW Dynamite Hikaru Shida On Her Big Win Dark Order Cult Vignette,https://i1.ytimg.com/vi/YaEWp2yP9sM/mqdefault.jpg
10,https://www.wrestlinginc.com/news/2019/11/chris-jericho-vs-scorpio-sky-for-the-aew-title-set-for-next-662471/,Chris Jericho Vs. Scorpio Sky For The AEW Title Set For Next Week's Dynamite,https://i1.ytimg.com/vi/M0WsXcPNZSo/mqdefault.jpg
11,https://www.wrestlinginc.com/news/2019/11/mjf-will-face-adam-page-on-next-week-aew-dynamite-with-the-662470/,MJF Will Face Adam Page On Next Week's AEW Dynamite With The Winner Receiving A Diamond Ring,https://www.wrestlinginc.com/images/pics/thumb/mjfaew2019.jpg
12,https://www.wrestlinginc.com/news/2019/11/dark-match-results-662467/,Dark Match Results Before Tonight's AEW Dynamite In Indianapolis,https://pbs.twimg.com/media/EJ22wgIXYAALBKa?format=jpg&name=small
13,https://www.wrestlinginc.com/news/2019/11/aew-dynamite-live-coverage-jon-moxley-takes-on-darby-allin-662465/,AEW Dynamite Results: Jon Moxley Takes On Darby Allin Chris Jericho Announcement Britt Baker,https://i1.ytimg.com/vi/7BPhT1kqNnI/mqdefault.jpg
14,https://www.wrestlinginc.com/news/2019/11/aew-announces-pac-vs-kenny-omega-for-next-week-dynamite-662457/,AEW Announces PAC Vs. Kenny Omega For Next Week's Dynamite Episode,https://i1.ytimg.com/vi/8AzF34n9pGM/mqdefault.jpg
15,https://www.wrestlinginc.com/news/2019/11/tony-khan-reveals-how-aew-bash-at-the-beach-came-together-662454/,Tony Khan Reveals How AEW Bash At The Beach Came Together Securing The Trademark,https://i1.ytimg.com/vi/ZH0RVNYdoG4/mqdefault.jpg
