Article ID,Article URL,Article Title,Article Image URL
0,https://wrestletalk.com/news/watch-mustafa-ali-do-a-spanish-fly-to-the-outside-after-wwe-smackdown-video/,Watch Mustafa Ali Do A Spanish Fly To The Outside After WWE Smackdown (VIDEO),https://static.wrestletalk.com/app/uploads/2019/03/mustafa-ali.jpg
1,https://wrestletalk.com/news/watch-as-aj-styles-says-he-would-mop-the-floor-with-cm-punk-on-smackdown-video/,Watch As AJ Styles Says He Would ‘Mop The Floor’ With CM Punk On Smackdown (VIDEO),https://static.wrestletalk.com/app/uploads/2019/07/aj-styles-us-title.jpg
2,https://wrestletalk.com/news/watch-as-dx-attack-king-corbin-after-wwe-smackdown-video/,Watch As DX Attack King Corbin After WWE Smackdown (VIDEO),https://static.wrestletalk.com/app/uploads/2019/11/HHH-960x540.jpg
3,https://wrestletalk.com/news/new-wwe-intercontinental-championship-revealed-on-smackdown/,New WWE Intercontinental Championship Revealed On Smackdown,https://static.wrestletalk.com/app/uploads/2019/06/WWE_Intercontinental_Championship.png
4,https://wrestletalk.com/news/wwe-smackdown-live-results-november-22-2019/,WWE Smackdown Live Results – November 22 2019,https://static.wrestletalk.com/app/uploads/2019/11/20191121_SD_FiendBray_Update-f6efeb003694b78360457ef334d41e50-960x540.jpg
5,https://wrestletalk.com/news/wwe-205-live-wrestlers-comment-on-tonights-cancellation/,WWE 205 Live Wrestlers Comment On Tonight’s Cancellation,https://static.wrestletalk.com/app/uploads/2019/09/Lio-Rush-960x540.jpg
6,https://wrestletalk.com/news/im-not-that-sorry-because-it-was-a-joke-jim-cornette-on-fried-chicken-comment/,“I’m Not That Sorry Because It Was A Joke” – Jim Cornette On ‘Fried Chicken’ Comment,https://static.wrestletalk.com/app/uploads/2018/09/Jim_Cornette_bio.jpg
7,https://wrestletalk.com/news/wwe-star-furious-with-triple-hs-professional-comments/,WWE Star Furious With Triple H’s “Professional” Comments,https://static.wrestletalk.com/app/uploads/2019/06/Triple-H-1-960x540.jpg
8,https://wrestletalk.com/news/rumour-more-wwe-releases-expected-soon/,Rumour: More WWE Releases Expected Soon,https://static.wrestletalk.com/app/uploads/2019/04/Vince-McMahon-Angry-Photo-e1554135547927-955x540.jpg
9,https://wrestletalk.com/news/chris-jericho-cody-react-to-nxt-beating-aew-for-the-first-time/,Chris Jericho & Cody React To NXT Beating AEW For The First Time,https://static.wrestletalk.com/app/uploads/2019/09/chris-jericho-bubbly-e22.jpg
10,https://wrestletalk.com/news/tonights-wwe-205-live-cancelled/,Tonight’s WWE 205 Live Cancelled,https://static.wrestletalk.com/app/uploads/2019/10/205-logo-f4.jpg
11,https://wrestletalk.com/news/backstage-reaction-to-raw-commentary-team-revealed/,Backstage Reaction To Raw Commentary Team Revealed,https://static.wrestletalk.com/app/uploads/2019/11/dio-maddin-raw-2rfwe.jpg
12,https://wrestletalk.com/news/watch-lanas-behind-the-scenes-footage-from-saudi-arabia/,Watch Lana’s Behind-The-Scenes Footage From Saudi Arabia,https://static.wrestletalk.com/app/uploads/2019/11/lana-lashley-35g.jpg
13,https://wrestletalk.com/news/seth-rollins-calls-out-cm-punk-for-wrestlemania-36/,Seth Rollins Calls Out CM Punk For WrestleMania 36,https://static.wrestletalk.com/app/uploads/2019/11/Punk-Rollins.jpg
14,https://wrestletalk.com/news/rumour-wwe-debuting-new-title-belts-at-survivor-series/,Rumour: WWE Debuting New Title Belts At Survivor Series,https://static.wrestletalk.com/app/uploads/2019/11/EJdleYhUcAAvIoY-960x540.jpeg
15,https://wrestletalk.com/news/nxt-champion-adam-cole-comments-on-nxts-wednesday-night-war-win/,NXT Champion Adam Cole Comments On NXT’s Wednesday Night War Win,https://static.wrestletalk.com/app/uploads/2019/09/adam-cole-few32e.jpg
